Fecha,TMAX,TMIN,Prec
2026-01-01,33.0,11.0,0.0
2026-01-02,29.0,8.0,0.0
2026-01-03,24.0,10.0,0.0
2026-01-04,28.0,7.0,0.0
2026-01-05,32.0,11.0,0.0
2026-01-06,21.0,13.0,15.6
2026-01-07,27.0,11.0,4.8
2026-01-08,30.0,9.0,0.6
2026-01-09,35.0,12.0,0.0
2026-01-10,34.0,16.0,0.9
2026-01-11,30.0,18.0,0.0
2026-01-12,31.0,16.0,4.2
2026-01-13,36.0,16.0,0.0
2026-01-14,35.0,14.0,0.0
2026-01-15,28.0,11.0,0.0
2026-01-16,36.0,17.0,1.5
2026-01-17,38.0,14.0,0.0
2026-01-18,32.0,16.0,0.4
2026-01-19,35.0,9.0,0.0
2026-01-20,34.0,13.0,0.3
2026-01-21,32.0,15.0,0.9
2026-01-22,35.0,13.0,0.0
2026-01-23,26.0,13.0,0.0
2026-01-24,30.0,13.0,0.0
2026-01-25,37.0,14.0,0.0
2026-01-26,34.0,10.0,0.0
2026-01-27,36.0,11.0,0.0
2026-01-28,41.0,18.0,2.1
2026-01-29,38.0,19.0,0.0
2026-01-30,30.0,12.0,0.0
